id;name;city;age;version
140;Zachary;Harrisburg;69;1
141;Grover;Jefferson City;36;1
142;Grover;Harrisburg;96;1
143;Harry;Cheyenne;40;1
144;Benjamin;Charleston;88;1
145;Harry;Helena;25;1
146;Lyndon;Baton Rouge;23;1
147;Thomas;Bismarck;64;1
148;James;Madison;6;1
149;Calvin;Columbia;85;1
150;Grover;Helena;90;1
151;Chester;Honolulu;39;1
152;Rutherford;Springfield;66;1
153;Calvin;Juneau;55;1
154;Lyndon;Springfield;65;1
155;James;Tallahassee;13;1
156;Grover;Charleston;87;1
157;Benjamin;Lincoln;41;1
158;Jimmy;Trenton;31;1
159;John;Richmond;81;1
160;Millard;Pierre;71;1
161;Chester;Jefferson City;42;1
162;Richard;Columbia;24;1
163;Harry;Cheyenne;96;1
164;Chester;Jefferson City;20;1
165;Dwight;Boston;1;1
166;Benjamin;Helena;83;1
167;William;Lincoln;83;1
168;Bill;Juneau;16;1
169;Warren;Harrisburg;83;1
170;William;Albany;10;1
171;Theodore;Indianapolis;85;1
172;Richard;Olympia;90;1
173;Zachary;Carson City;47;1
174;Herbert;Dover;62;1
175;Herbert;Trenton;27;1
176;Dwight;Austin;27;1
177;John;Lansing;28;1
178;Ronald;Atlanta;1;1
179;Ronald;Denver;45;1
180;Andrew;Montpelier;9;1
181;Theodore;Lansing;39;1
182;Chester;Montgomery;23;1
183;Richard;Atlanta;27;1
184;Lyndon;Lansing;81;1
185;Bill;Olympia;99;1
186;Abraham;Topeka;59;1
187;Theodore;Springfield;88;1
188;Lyndon;Albany;75;1
189;Warren;Concord;36;1
190;Jimmy;Charleston;56;1
191;John;Hartford;90;1
192;Rutherford;Frankfort;88;1
193;Jimmy;Baton Rouge;60;1
194;Ronald;Richmond;75;1
195;Herbert;Lincoln;26;1
196;Franklin;Tallahassee;3;1
197;Chester;Pierre;86;1
198;Bill;Frankfort;73;1
199;Theodore;Providence;98;1
200;Thomas;Jackson;63;1
201;John;Trenton;80;1
202;Warren;Madison;52;1
203;Andrew;Olympia;40;1
204;Franklin;Olympia;1;1
205;George;Austin;96;1
206;William;Nashville;29;1
207;Harry;Hartford;42;1
208;Ulysses;Salem;100;1
209;Warren;Juneau;48;1
210;Warren;Salem;16;1
211;James;Des Moines;11;1
212;Millard;Charleston;37;1
213;Ulysses;Madison;6;1
214;Richard;Olympia;84;1
215;Harry;Madison;99;1
216;Richard;Tallahassee;23;1
217;Gerald;Charleston;32;1
218;Andrew;Columbus;2;1
219;Andrew;Augusta;87;1
220;Bill;Oklahoma City;2;1
221;Herbert;Indianapolis;53;1
222;Jimmy;Dover;28;1
223;George;Boise;17;1
224;John;Lansing;7;1
225;Dwight;Helena;34;1
226;Woodrow;Pierre;29;1
227;Gerald;Pierre;17;1
228;James;Jackson;83;1
229;Ronald;Concord;13;1
230;Grover;Salt Lake City;21;1
231;Thomas;Phoenix;59;1
232;Benjamin;Helena;58;1
233;Zachary;Augusta;16;1
234;Lyndon;Boise;96;1
235;James;Montpelier;92;1
236;Warren;Saint Paul;39;1
237;Andrew;Harrisburg;30;1
238;Richard;Cheyenne;10;1
239;John;Concord;70;1
240;John;Helena;88;1
241;Richard;Little Rock;64;1
242;Richard;Little Rock;22;1
243;Theodore;Raleigh;88;1
244;Richard;Montgomery;30;1
245;Harry;Baton Rouge;48;1
246;Gerald;Raleigh;31;1
247;Warren;Atlanta;0;1
248;Ulysses;Tallahassee;12;1
249;Calvin;Boston;1;1
250;Herbert;Saint Paul;91;1
251;Jimmy;Topeka;84;1
252;James;Sacramento;97;1
253;Rutherford;Boston;78;1
254;Herbert;Dover;19;1
255;Theodore;Trenton;39;1
256;James;Sacramento;29;1
257;Martin;Carson City;58;1
258;John;Augusta;69;1
259;Ronald;Trenton;42;1
260;Theodore;Annapolis;36;1
261;Andrew;Pierre;13;1
262;Franklin;Salem;10;1
263;Dwight;Charleston;89;1
264;Rutherford;Topeka;81;1
265;Martin;Raleigh;71;1
266;Grover;Santa Fe;48;1
267;Jimmy;Salt Lake City;13;1
268;Woodrow;Des Moines;40;1
269;Herbert;Madison;0;1
270;Theodore;Lincoln;98;1
271;Gerald;Denver;67;1
272;George;Juneau;79;1
273;Andrew;Denver;9;1
274;Woodrow;Nashville;98;1
275;Calvin;Austin;26;1
276;Martin;Austin;26;1
277;Franklin;Pierre;31;1
278;Woodrow;Lincoln;31;1
279;Harry;Bismarck;17;1
280;Millard;Helena;88;1
281;Herbert;Denver;82;1
282;Herbert;Montgomery;8;1
283;Richard;Trenton;6;1
284;Theodore;Montgomery;61;1
285;Martin;Bismarck;51;1
286;John;Little Rock;4;1
287;John;Trenton;30;1
288;Woodrow;Oklahoma City;48;1
289;Andrew;Columbus;56;1
290;Ulysses;Charleston;41;1
291;Lyndon;Carson City;82;1
292;Thomas;Richmond;87;1
293;Millard;Baton Rouge;17;1
294;Warren;Tallahassee;36;1
295;Thomas;Santa Fe;32;1
296;Rutherford;Juneau;73;1
297;Theodore;Baton Rouge;39;1
298;Theodore;Boise;26;1
299;Martin;Boston;21;1
300;Thomas;Albany;6;1
301;Gerald;Boise;50;1
302;Woodrow;Harrisburg;90;1
303;Richard;Trenton;38;1
304;Benjamin;Tallahassee;35;1
305;Harry;Baton Rouge;21;1
306;Ronald;Hartford;6;1
307;Andrew;Oklahoma City;82;1
308;Rutherford;Indianapolis;78;1
309;Ronald;Lincoln;82;1
310;Martin;Atlanta;59;1
311;Ulysses;Bismarck;44;1
312;Chester;Cheyenne;52;1
313;Herbert;Atlanta;83;1
314;Benjamin;Montgomery;72;1
315;Lyndon;Jackson;4;1
316;Martin;Albany;70;1
317;Millard;Montpelier;57;1
318;Gerald;Jefferson City;21;1
319;Gerald;Albany;10;1
320;John;Frankfort;26;1
321;Harry;Dover;24;1
322;Warren;Little Rock;3;1
323;Ronald;Augusta;71;1
324;Ulysses;Salt Lake City;25;1
325;Bill;Springfield;28;1
326;Franklin;Albany;67;1
327;Benjamin;Lincoln;41;1
328;Bill;Saint Paul;31;1
329;Lyndon;Lincoln;22;1
330;James;Columbus;70;1
331;Martin;Baton Rouge;28;1
332;Ronald;Columbus;51;1
333;Millard;Montpelier;89;1
334;Herbert;Santa Fe;51;1
335;Theodore;Baton Rouge;6;1
336;Chester;Concord;34;1
337;Woodrow;Dover;69;1
338;Millard;Sacramento;36;1
339;William;Lincoln;76;1
340;George;Baton Rouge;51;1
341;Harry;Tallahassee;37;1
342;Bill;Albany;28;1
343;Harry;Helena;81;1
344;Andrew;Dover;60;1
345;George;Jefferson City;9;1
346;Calvin;Nashville;57;1
347;Jimmy;Trenton;51;1
348;Millard;Juneau;53;1
349;Herbert;Columbus;95;1
350;Zachary;Tallahassee;100;1
351;Harry;Columbia;77;1
352;Gerald;Topeka;81;1
353;Richard;Jefferson City;85;1
354;Woodrow;Indianapolis;45;1
355;Woodrow;Helena;40;1
356;Abraham;Salem;34;1
357;George;Salem;16;1
358;Grover;Des Moines;0;1
359;Abraham;Bismarck;41;1
360;Jimmy;Honolulu;3;1
361;Chester;Lincoln;35;1
362;Rutherford;Juneau;76;1
363;Richard;Albany;86;1
364;Grover;Annapolis;9;1
365;Millard;Dover;96;1
366;Franklin;Bismarck;93;1
367;John;Jackson;76;1
368;Harry;Tallahassee;44;1
369;William;Boston;66;1
370;Harry;Springfield;58;1
371;Woodrow;Charleston;94;1
372;Chester;Honolulu;88;1
373;Thomas;Providence;35;1
374;Benjamin;Dover;1;1
375;Martin;Cheyenne;34;1
376;Ronald;Concord;74;1
377;James;Concord;36;1
378;Warren;Montpelier;92;1
379;Benjamin;Dover;76;1
380;Bill;Raleigh;99;1
381;Benjamin;Nashville;53;1
382;Harry;Richmond;96;1
383;Grover;Pierre;81;1
384;James;Springfield;51;1
385;Woodrow;Columbus;51;1
386;Dwight;Annapolis;98;1
387;Chester;Concord;74;1
388;Andrew;Indianapolis;72;1
389;Lyndon;Pierre;45;1
390;Richard;Concord;100;1
391;William;Lansing;97;1
392;Zachary;Hartford;26;1
393;Calvin;Lansing;40;1
394;Richard;Frankfort;55;1
395;Thomas;Honolulu;47;1
396;Andrew;Frankfort;53;1
397;Benjamin;Carson City;54;1
398;George;Montpelier;78;1
399;Theodore;Annapolis;12;1
400;Abraham;Lincoln;100;1
401;Thomas;Boise;41;1
402;John;Helena;56;1
403;Herbert;Salem;94;1
404;George;Providence;22;1
405;Calvin;Annapolis;19;1
406;William;Juneau;59;1
407;Richard;Boston;99;1
408;Dwight;Jackson;19;1
409;Calvin;Springfield;18;1
410;Gerald;Honolulu;15;1
411;William;Augusta;13;1
412;Dwight;Sacramento;28;1
413;Jimmy;Oklahoma City;94;1
414;Martin;Montpelier;96;1
415;Chester;Des Moines;88;1
416;Woodrow;Salt Lake City;12;1
417;Calvin;Richmond;42;1
418;Andrew;Atlanta;39;1
419;Calvin;Boston;25;1
420;Thomas;Atlanta;27;1
421;Franklin;Hartford;96;1
422;Ronald;Raleigh;87;1
423;Theodore;Annapolis;60;1
424;Benjamin;Salem;99;1
425;Jimmy;Richmond;35;1
426;Martin;Madison;7;1
427;Rutherford;Jefferson City;60;1
428;Richard;Concord;77;1
429;William;Providence;93;1
430;Ronald;Concord;49;1
431;Gerald;Sacramento;69;1
432;Lyndon;Providence;51;1
433;Theodore;Salem;90;1
434;Warren;Boise;81;1
435;Franklin;Lincoln;74;1
436;Bill;Bismarck;66;1
437;Ronald;Boise;78;1
438;Franklin;Montpelier;19;1
439;Woodrow;Richmond;54;1
440;Harry;Augusta;50;1
441;Franklin;Concord;79;1
442;Rutherford;Springfield;18;1
443;William;Concord;95;1
444;Calvin;Bismarck;78;1
445;Andrew;Augusta;50;1
446;James;Annapolis;21;1
447;Zachary;Columbia;99;1
448;Grover;Lincoln;44;1
449;Grover;Richmond;22;1
450;George;Albany;8;1
451;Andrew;Nashville;82;1
452;Martin;Jackson;18;1
453;Andrew;Oklahoma City;3;1
454;Martin;Bismarck;49;1
455;Benjamin;Charleston;57;1
456;Dwight;Hartford;60;1
457;Calvin;Lansing;79;1
458;Gerald;Charleston;12;1
459;Harry;Concord;91;1
460;Lyndon;Boise;35;1
461;Theodore;Harrisburg;24;1
462;Ronald;Albany;57;1
463;Bill;Hartford;43;1
464;Theodore;Boston;66;1
465;Ulysses;Albany;15;1
466;Theodore;Atlanta;37;1
467;Jimmy;Raleigh;70;1
468;Franklin;Jackson;49;1
469;Millard;Richmond;88;1
470;Andrew;Salem;61;1
471;Zachary;Columbia;37;1
472;Theodore;Carson City;17;1
473;Warren;Honolulu;29;1
474;Herbert;Topeka;41;1
475;Dwight;Denver;84;1
476;Grover;Little Rock;36;1
477;Ulysses;Providence;20;1
478;George;Salt Lake City;5;1
479;John;Helena;32;1
480;William;Pierre;6;1
481;Gerald;Cheyenne;14;1
482;Ulysses;Little Rock;99;1
483;Martin;Annapolis;16;1
484;William;Harrisburg;91;1
485;Theodore;Trenton;56;1
486;Martin;Montpelier;66;1
487;Abraham;Cheyenne;5;1
488;Warren;Columbia;11;1
489;Woodrow;Denver;11;1
490;Dwight;Boston;98;1
491;Herbert;Trenton;28;1
492;Martin;Lansing;15;1
493;Ronald;Trenton;6;1
494;Chester;Boise;100;1
495;Theodore;Pierre;79;1
496;Jimmy;Pierre;91;1
497;Bill;Boston;26;1
498;Herbert;Saint Paul;34;1
499;Ulysses;Little Rock;24;1
500;Zachary;Pierre;84;1
501;Thomas;Frankfort;9;1
502;Martin;Annapolis;94;1
503;Jimmy;Charleston;24;1
504;Richard;Oklahoma City;22;1
505;Herbert;Oklahoma City;59;1
506;Franklin;Bismarck;13;1
507;Franklin;Denver;79;1
508;Gerald;Carson City;94;1
509;Ulysses;Oklahoma City;50;1
510;Woodrow;Topeka;53;1
511;John;Santa Fe;8;1
512;Ronald;Tallahassee;57;1
513;Gerald;Atlanta;0;1
514;Richard;Carson City;11;1
515;Benjamin;Denver;50;1
516;Ronald;Trenton;25;1
517;Millard;Baton Rouge;88;1
518;John;Austin;9;1
519;Bill;Lincoln;21;1
520;Theodore;Austin;15;1
521;John;Sacramento;7;1
522;Ronald;Tallahassee;35;1
523;Lyndon;Montgomery;69;1
524;Grover;Springfield;58;1
525;Chester;Charleston;24;1
526;Martin;Boise;62;1
527;Dwight;Montgomery;56;1
528;Jimmy;Olympia;94;1
529;John;Richmond;81;1
530;Jimmy;Dover;37;1
531;Gerald;Jefferson City;12;1
532;Herbert;Frankfort;95;1
533;Richard;Nashville;12;1
534;Benjamin;Springfield;57;1
535;Lyndon;Charleston;96;1
536;Dwight;Pierre;33;1
537;Rutherford;Springfield;53;1
538;Jimmy;Olympia;20;1
539;Jimmy;Phoenix;17;1
540;Franklin;Hartford;36;1
541;Benjamin;Nashville;38;1
542;Dwight;Richmond;80;1
543;Woodrow;Atlanta;74;1
544;Theodore;Santa Fe;68;1
545;Ronald;Phoenix;84;1
546;Martin;Concord;16;1
547;Woodrow;Annapolis;22;1
548;Dwight;Juneau;29;1
549;Dwight;Indianapolis;19;1
550;Rutherford;Helena;0;1
551;Richard;Des Moines;68;1
552;Andrew;Pierre;89;1
553;Richard;Dover;5;1
554;Warren;Concord;3;1
555;Dwight;Annapolis;5;1
556;Bill;Oklahoma City;67;1
557;Grover;Dover;94;1
558;Thomas;Springfield;85;1
559;Theodore;Albany;69;1
560;Grover;Hartford;70;1
561;Harry;Boise;17;1
562;Herbert;Carson City;100;1
563;Abraham;Carson City;42;1
564;Millard;Baton Rouge;42;1
565;John;Atlanta;13;1
566;Ronald;Jackson;44;1
567;Bill;Madison;91;1
568;George;Phoenix;10;1
569;Andrew;Salem;60;1
570;Zachary;Bismarck;21;1
571;Bill;Jefferson City;61;1
572;Herbert;Baton Rouge;37;1
573;Chester;Des Moines;19;1
574;Woodrow;Baton Rouge;67;1
575;James;Lansing;19;1
576;Woodrow;Harrisburg;76;1
577;Ronald;Dover;57;1
578;Zachary;Santa Fe;95;1
579;Andrew;Olympia;76;1
580;Grover;Austin;95;1
581;Franklin;Denver;45;1
582;Martin;Cheyenne;13;1
583;Millard;Boise;51;1
584;George;Atlanta;84;1
585;Gerald;Cheyenne;8;1
586;Woodrow;Springfield;30;1
587;Zachary;Richmond;23;1
588;William;Richmond;18;1
589;Harry;Sacramento;86;1
590;Lyndon;Richmond;2;1
591;Herbert;Charleston;83;1
592;John;Augusta;3;1
593;Benjamin;Hartford;63;1
594;Rutherford;Boise;1;1
595;Harry;Frankfort;85;1
596;Gerald;Baton Rouge;15;1
597;Calvin;Santa Fe;86;1
598;Dwight;Trenton;23;1
599;Abraham;Juneau;93;1
600;John;Richmond;16;1
601;Herbert;Charleston;37;1
602;Andrew;Boston;50;1
603;Calvin;Springfield;73;1
604;Chester;Oklahoma City;48;1
605;William;Oklahoma City;77;1
606;Warren;Olympia;10;1
607;Warren;Little Rock;64;1
608;Franklin;Augusta;51;1
609;George;Atlanta;60;1
610;James;Trenton;28;1
611;Warren;Dover;76;1
612;Lyndon;Montpelier;81;1
613;Richard;Cheyenne;37;1
614;Grover;Lansing;88;1
615;Dwight;Salt Lake City;7;1
616;Theodore;Montpelier;17;1
617;Franklin;Richmond;68;1
618;Richard;Helena;100;1
619;Gerald;Helena;72;1
620;Martin;Trenton;6;1
621;John;Honolulu;23;1
622;Benjamin;Albany;55;1
623;Jimmy;Juneau;34;1
624;Rutherford;Jackson;4;1
625;William;Columbia;36;1
626;Ulysses;Nashville;68;1
627;Martin;Madison;62;1
628;John;Salt Lake City;69;1
629;Bill;Richmond;38;1
630;George;Harrisburg;9;1
631;Grover;Phoenix;22;1
632;Millard;Atlanta;51;1
633;Herbert;Springfield;70;1
634;Calvin;Topeka;99;1
635;Rutherford;Des Moines;82;1
636;James;Raleigh;96;1
637;Ronald;Pierre;49;1
638;Chester;Juneau;37;1
639;Ulysses;Jackson;40;1
640;Harry;Madison;74;1
641;Abraham;Bismarck;17;1
642;Ronald;Richmond;88;1
643;Abraham;Little Rock;65;1
644;Calvin;Frankfort;52;1
645;James;Olympia;19;1
646;Warren;Little Rock;97;1
647;James;Boston;36;1
648;Millard;Nashville;17;1
649;Rutherford;Lincoln;25;1
650;Millard;Denver;92;1
651;Benjamin;Helena;99;1
652;George;Albany;1;1
653;Millard;Lansing;26;1
654;Lyndon;Dover;38;1
655;Andrew;Concord;80;1
656;Bill;Hartford;29;1
657;William;Hartford;6;1
658;Gerald;Des Moines;12;1
659;Calvin;Helena;77;1
660;Woodrow;Baton Rouge;82;1
661;Thomas;Indianapolis;8;1
662;Andrew;Oklahoma City;16;1
663;Bill;Frankfort;99;1
664;Warren;Lansing;52;1
665;Richard;Annapolis;49;1
666;Harry;Charleston;78;1
667;John;Columbus;87;1
668;Richard;Springfield;48;1
669;Millard;Providence;36;1
670;Jimmy;Madison;0;1
671;Jimmy;Juneau;9;1
672;Warren;Saint Paul;63;1
673;Jimmy;Baton Rouge;60;1
674;George;Phoenix;100;1
675;Andrew;Cheyenne;76;1
676;Dwight;Nashville;56;1
677;Gerald;Raleigh;25;1
678;Warren;Santa Fe;20;1
679;Ronald;Salt Lake City;26;1
680;Andrew;Trenton;48;1
681;Harry;Raleigh;86;1
682;William;Bismarck;47;1
683;James;Lansing;27;1
684;Harry;Santa Fe;16;1
685;Franklin;Boise;12;1
686;Franklin;Annapolis;73;1
687;Martin;Carson City;94;1
688;Ulysses;Jackson;3;1
689;James;Charleston;9;1
690;Thomas;Juneau;26;1
691;Lyndon;Jackson;47;1
692;Andrew;Augusta;66;1
693;William;Olympia;64;1
694;Ulysses;Cheyenne;1;1
695;Franklin;Santa Fe;61;1
696;Ronald;Helena;26;1
697;Herbert;Tallahassee;90;1
698;William;Harrisburg;29;1
699;James;Carson City;20;1
700;Woodrow;Annapolis;78;1
701;Chester;Little Rock;92;1
702;Dwight;Augusta;80;1
703;Jimmy;Providence;43;1
704;James;Baton Rouge;38;1
705;Ulysses;Hartford;31;1
706;Millard;Concord;89;1
707;Bill;Tallahassee;12;1
708;Millard;Boise;58;1
709;Rutherford;Pierre;38;1
710;John;Augusta;41;1
711;Rutherford;Saint Paul;47;1
712;Millard;Albany;63;1
713;Lyndon;Indianapolis;77;1
714;Chester;Oklahoma City;1;1
715;Warren;Phoenix;87;1
716;Warren;Jackson;49;1
717;William;Helena;52;1
718;Bill;Charleston;50;1
719;Warren;Atlanta;24;1
720;George;Nashville;33;1
721;Gerald;Denver;73;1
722;Warren;Madison;65;1
723;Franklin;Boston;95;1
724;Chester;Providence;66;1
725;Gerald;Denver;31;1
726;Millard;Harrisburg;86;1
727;Millard;Little Rock;34;1
728;Calvin;Oklahoma City;31;1
729;James;Boise;19;1
730;Rutherford;Augusta;91;1
731;Jimmy;Jackson;37;1
732;Franklin;Austin;77;1
733;Bill;Jefferson City;68;1
734;Ulysses;Austin;32;1
735;William;Helena;49;1
736;Franklin;Lansing;84;1
737;William;Austin;26;1
738;Millard;Augusta;68;1
739;Benjamin;Denver;59;1
740;Richard;Montgomery;99;1
741;Thomas;Austin;28;1
742;Harry;Lincoln;43;1
743;Jimmy;Carson City;18;1
744;Gerald;Carson City;51;1
745;Bill;Hartford;28;1
746;John;Austin;55;1
747;Lyndon;Albany;67;1
748;Herbert;Jackson;81;1
749;Millard;Trenton;43;1
750;Zachary;Charleston;3;1
751;Theodore;Salem;47;2
752;George;Charleston;52;2
753;Ulysses;Concord;71;2
754;Dwight;Atlanta;99;2
755;Rutherford;Tallahassee;72;2
756;Lyndon;Des Moines;89;2
757;Franklin;Harrisburg;88;2
758;John;Providence;13;2
759;Dwight;Sacramento;67;2
760;Harry;Boise;46;2
761;James;Sacramento;34;2
762;Abraham;Saint Paul;43;2
763;Millard;Augusta;17;2
764;Theodore;Des Moines;7;2
765;Jimmy;Hartford;96;2
766;Ronald;Topeka;19;2
767;Zachary;Topeka;24;2
768;Gerald;Concord;3;2
769;Martin;Concord;88;2
770;William;Boston;41;2
771;Ronald;Springfield;39;2
772;Warren;Jefferson City;66;2
773;Harry;Columbia;26;2
774;Zachary;Boston;62;2
775;Martin;Salt Lake City;12;2
776;Franklin;Little Rock;99;2
777;Martin;Madison;4;2
778;Dwight;Charleston;47;2
779;Andrew;Providence;48;2
780;Theodore;Annapolis;54;2
781;Lyndon;Columbus;18;2
782;Harry;Frankfort;66;2
783;Warren;Jackson;62;2
784;Herbert;Dover;8;2
785;James;Pierre;20;2
786;William;Phoenix;72;2
787;Andrew;Jackson;35;2
788;Warren;Topeka;95;2
789;Thomas;Salt Lake City;21;2
790;John;Charleston;70;2
791;Rutherford;Providence;84;2
792;Harry;Boston;74;2
793;William;Cheyenne;87;2
794;Lyndon;Juneau;26;2
795;Millard;Madison;38;2
796;Harry;Phoenix;69;2
797;Calvin;Boston;13;2
798;William;Richmond;60;2
799;Jimmy;Boise;54;2
800;Dwight;Olympia;21;2
801;Richard;Albany;8;2
802;Richard;Concord;2;2
803;George;Sacramento;95;2
804;Bill;Harrisburg;55;2
805;Lyndon;Lansing;39;2
806;Calvin;Atlanta;97;2
807;Franklin;Oklahoma City;96;2
808;John;Topeka;65;2
809;Benjamin;Richmond;67;2
810;Gerald;Richmond;19;2
811;Richard;Dover;15;2
812;Gerald;Hartford;72;2
813;John;Nashville;86;2
814;Grover;Augusta;84;2
815;Woodrow;Albany;20;2
816;Theodore;Sacramento;92;2
817;John;Nashville;81;2
818;Abraham;Santa Fe;25;2
819;Calvin;Charleston;6;2
820;George;Salem;42;2
821;Theodore;Baton Rouge;81;2
822;Gerald;Albany;70;2
823;Lyndon;Indianapolis;10;2
824;Abraham;Columbus;1;2
825;Abraham;Salt Lake City;21;2
826;Grover;Indianapolis;65;2
827;Richard;Denver;66;2
828;Grover;Richmond;72;2
829;Chester;Columbus;94;2
830;George;Des Moines;38;2
831;Martin;Salt Lake City;99;2
832;Rutherford;Salt Lake City;34;2
833;Jimmy;Augusta;45;2
834;Thomas;Frankfort;49;2
835;Franklin;Providence;100;2
836;Chester;Providence;59;2
837;Gerald;Columbia;97;2
838;Grover;Atlanta;7;2
839;Bill;Des Moines;48;2
840;Martin;Denver;60;2
841;Abraham;Baton Rouge;91;2
842;John;Atlanta;14;2
843;George;Tallahassee;32;2
844;Grover;Nashville;13;2
845;Franklin;Juneau;61;2
846;Theodore;Albany;50;2
847;George;Denver;38;2
848;John;Nashville;63;2
849;Richard;Santa Fe;55;2
850;Thomas;Sacramento;94;2
851;Jimmy;Carson City;96;2
852;Grover;Austin;89;2
853;John;Austin;52;2
854;Chester;Helena;30;2
855;Ulysses;Indianapolis;35;2
856;Theodore;Denver;6;2
857;Bill;Topeka;56;2
858;Dwight;Montpelier;34;2
859;James;Denver;71;2
860;James;Nashville;62;2
861;Jimmy;Providence;63;2
862;James;Frankfort;23;2
863;Calvin;Santa Fe;76;2
864;Zachary;Topeka;55;2
865;Gerald;Cheyenne;56;2
866;Dwight;Columbia;60;2
867;Bill;Topeka;97;2
868;George;Carson City;71;2
869;Franklin;Sacramento;73;2
870;Millard;Hartford;90;2
871;Herbert;Olympia;43;2
872;Ronald;Salem;85;2
873;Chester;Lincoln;9;2
874;William;Columbus;69;2
875;George;Columbia;15;2
876;Chester;Concord;71;2
877;Grover;Pierre;30;2
878;Dwight;Trenton;62;2
879;Theodore;Pierre;66;2
